#X,C1_BASE1->TM_Torque(abs)
#Time(sec),Torque(N-m)_Real
1.710930E-01,0.138397
1.714140E-01,0.136851
1.717350E-01,0.138400
1.720560E-01,0.136855
1.723770E-01,0.138403
1.726980E-01,0.136858
1.730190E-01,0.136860
1.733400E-01,0.136862
1.736610E-01,0.136864
1.739820E-01,0.138412
1.743030E-01,0.136868
1.746240E-01,0.136869
1.749450E-01,0.136871
1.752660E-01,0.138419
1.755870E-01,0.136875
1.759080E-01,0.136877
1.762290E-01,0.136878
1.765500E-01,0.138426
1.768710E-01,0.136882
1.771920E-01,0.138429
1.775130E-01,0.136886
1.778340E-01,0.136888
1.781550E-01,0.136889
1.784760E-01,0.136891
1.787970E-01,0.137749
1.791180E-01,0.138440
1.794390E-01,2.191104
1.797600E-01,0.138443
1.800810E-01,0.136901
1.804020E-01,0.136903
1.807230E-01,0.136904
1.810440E-01,0.138450
1.813650E-01,0.136908
1.816860E-01,0.136910
1.820070E-01,0.138456
1.823280E-01,0.138458
1.826490E-01,0.138459
1.829700E-01,0.136918
1.832910E-01,0.136919
1.836120E-01,0.136921
1.839330E-01,0.136923
1.842540E-01,0.136925
1.845750E-01,0.136927
1.848960E-01,0.138472
1.852170E-01,0.136931
1.855380E-01,0.136933
1.858590E-01,0.136935
1.861800E-01,0.138479
1.865010E-01,0.138481
1.868220E-01,0.136941
1.871430E-01,0.138485
1.874640E-01,0.136944
1.877850E-01,0.138488
1.881060E-01,0.136948
1.884270E-01,0.136950
1.887480E-01,0.136952
1.890690E-01,0.136954
1.893900E-01,0.136956
1.897110E-01,0.136958
1.900320E-01,0.136960
1.903530E-01,0.136962
1.906740E-01,0.136964
1.909950E-01,0.136966
1.913160E-01,0.136271
1.916370E-01,2.188593
1.919580E-01,0.136972
1.922790E-01,0.136974
1.926000E-01,0.136976
1.929210E-01,0.136978
1.932420E-01,0.136980
1.935630E-01,0.138522
1.938840E-01,0.136984
1.942050E-01,0.136986
1.945260E-01,0.136988
1.948470E-01,0.136990
1.951680E-01,0.136992
1.954890E-01,0.136994
1.958100E-01,0.136996
1.961310E-01,0.136998
1.964520E-01,0.137000
1.967730E-01,0.138541
1.970940E-01,0.137004
1.974150E-01,0.136309
1.977360E-01,0.138547
1.980570E-01,2.187207
1.983780E-01,0.137012
1.986990E-01,0.137014
1.990200E-01,0.137016
1.993410E-01,0.138557
1.996620E-01,0.137020
1.999830E-01,0.137023
2.003040E-01,0.137025
2.006250E-01,0.137027
2.009460E-01,0.138566
2.012670E-01,0.138568
2.015880E-01,0.137033
2.019090E-01,0.138572
2.022300E-01,0.137037
2.025510E-01,0.137039
2.028720E-01,0.137041
2.031930E-01,0.138580
2.035140E-01,0.137045
2.038350E-01,0.137047
2.041560E-01,0.137049
2.044770E-01,0.137052
2.047980E-01,0.138590
2.051190E-01,0.137056
2.054400E-01,0.138594
2.057610E-01,0.137060
2.060820E-01,0.138598
2.064030E-01,0.137064
2.067240E-01,0.137066
2.070450E-01,0.137069
2.073660E-01,0.137071
2.076870E-01,0.138608
2.080080E-01,0.137075
2.083290E-01,0.137077
2.086500E-01,0.137079
2.089710E-01,0.138616
2.092920E-01,0.137084
2.096130E-01,0.137086
2.099340E-01,0.137088
2.102550E-01,0.138624
2.105760E-01,0.138627
2.108970E-01,0.137094
2.112180E-01,0.137096
2.115390E-01,0.137099
2.118600E-01,0.138635
2.121810E-01,0.137103
2.125020E-01,0.137105
2.128230E-01,0.137107
2.131440E-01,0.137110
2.134650E-01,0.138645
2.137860E-01,0.137114
2.141070E-01,0.138649
2.144280E-01,0.137118
2.147490E-01,0.137121
2.150700E-01,0.138656
2.153910E-01,0.137125
2.157120E-01,0.137127
2.160330E-01,0.137129
2.163540E-01,0.137132
2.166750E-01,0.137134
2.169960E-01,0.138668
2.173170E-01,0.138670
2.176380E-01,0.136445
2.179590E-01,2.182629
2.182800E-01,0.137145
2.186010E-01,0.137147
2.189220E-01,0.137150
2.192430E-01,0.137152
2.195640E-01,0.137154
2.198850E-01,0.137156
2.202060E-01,0.137158
2.205270E-01,0.137161
2.208480E-01,0.137163
2.211690E-01,0.137165
2.214900E-01,0.137167
2.218110E-01,0.138700
2.221320E-01,0.137172
2.224530E-01,0.138704
2.227740E-01,0.138707
2.230950E-01,0.137179
2.234160E-01,0.137181
2.237370E-01,0.136488
2.240580E-01,2.181143
2.243790E-01,0.137188
2.247000E-01,0.138720
2.250210E-01,0.137193
2.253420E-01,0.138724
2.256630E-01,0.137197
2.259840E-01,0.138728
2.263050E-01,0.137202
2.266260E-01,0.138733
2.269470E-01,0.138735
2.272680E-01,0.137209
2.275890E-01,0.137211
2.279100E-01,0.137213
2.282310E-01,0.138744
2.285520E-01,0.138746
2.288730E-01,0.138748
2.291940E-01,0.137223
2.295150E-01,0.137225
2.298360E-01,0.137227
2.301570E-01,0.137230
2.304780E-01,0.137232
2.307990E-01,0.137234
2.311200E-01,0.137237
2.314410E-01,0.137239
2.317620E-01,0.137242
2.320830E-01,0.137244
2.324040E-01,0.138773
2.327250E-01,0.137249
2.330460E-01,0.138777
2.333670E-01,0.137253
2.336880E-01,0.137256
2.340090E-01,0.137258
2.343300E-01,0.137261
2.346510E-01,0.137263
2.349720E-01,0.137265
2.352930E-01,0.137268
2.356140E-01,0.137270
2.359350E-01,0.137272
2.362560E-01,0.137275
2.365770E-01,0.137277
2.368980E-01,0.137280
2.372190E-01,0.137282
2.375400E-01,0.137285
2.378610E-01,0.137287
2.381820E-01,0.137289
2.385030E-01,0.137292
2.388240E-01,0.138818
2.391450E-01,0.136602
2.394660E-01,2.177217
2.397870E-01,0.137302
2.401080E-01,0.137304
2.404290E-01,0.137306
2.407500E-01,0.138832
2.410710E-01,0.137311
2.413920E-01,0.138837
2.417130E-01,0.137316
2.420340E-01,0.137319
2.423550E-01,0.137321
2.426760E-01,0.137323
2.429970E-01,0.137326
2.433180E-01,0.137328
2.436390E-01,0.138853
2.439600E-01,0.137334
2.442810E-01,0.137336
2.446020E-01,0.137339
2.449230E-01,0.138862
2.452440E-01,0.138865
2.455650E-01,0.138867
2.458860E-01,0.138869
2.462070E-01,0.138872
2.465280E-01,0.138874
2.468490E-01,0.138876
2.471700E-01,0.137358
2.474910E-01,0.137361
2.478120E-01,0.138884
2.481330E-01,0.137366
2.484540E-01,0.138888
2.487750E-01,0.137371
2.490960E-01,0.137373
2.494170E-01,0.137376
2.497380E-01,0.136684
2.500590E-01,2.174366
2.503800E-01,0.138216
2.507010E-01,2.174197
2.510220E-01,0.137389
2.513430E-01,0.137391
2.516640E-01,0.137394
2.519850E-01,0.137396
2.523060E-01,0.138917
2.526270E-01,0.137401
2.529480E-01,0.137404
2.532690E-01,0.138924
2.535900E-01,0.137409
2.539110E-01,0.138929
2.542320E-01,0.137414
2.545530E-01,0.137417
2.548740E-01,0.137419
2.551950E-01,0.137422
2.555160E-01,0.137424
2.558370E-01,0.137427
2.561580E-01,0.137429
2.564790E-01,0.137432
2.568000E-01,0.138951
2.571210E-01,0.138954
2.574420E-01,0.137440
2.577630E-01,0.137443
2.580840E-01,0.137445
2.584050E-01,0.138277
2.587260E-01,2.171956
2.590470E-01,0.138969
2.593680E-01,0.138971
2.596890E-01,0.138973
2.600100E-01,0.137461
2.603310E-01,0.137463
2.606520E-01,0.138981
2.609730E-01,0.137469
2.612940E-01,0.137471
2.616150E-01,0.137474
2.619360E-01,0.138991
2.622570E-01,0.138993
2.625780E-01,0.138996
2.628990E-01,0.137484
2.632200E-01,0.137487
2.635410E-01,0.137490
2.638620E-01,0.139006
2.641830E-01,0.139009
2.645040E-01,0.139011
2.648250E-01,0.137500
2.651460E-01,0.137503
2.654670E-01,0.137506
2.657880E-01,0.139021
2.661090E-01,0.137511
2.664300E-01,0.137514
2.667510E-01,0.139029
2.670720E-01,0.137519
2.673930E-01,0.137522
2.677140E-01,0.137524
2.680350E-01,0.137527
2.683560E-01,0.137530
2.686770E-01,0.139044
2.689980E-01,0.137535
2.693190E-01,0.137538
2.696400E-01,0.139052
2.699610E-01,0.137544
2.702820E-01,0.137546
2.706030E-01,0.137549
2.709240E-01,0.137552
2.712450E-01,0.137554
2.715660E-01,0.137557
2.718870E-01,0.137560
2.722080E-01,0.137562
2.725290E-01,0.137565
2.728500E-01,0.137568
2.731710E-01,0.139080
2.734920E-01,0.137573
2.738130E-01,0.137576
2.741340E-01,0.137579
2.744550E-01,0.137582
2.747760E-01,0.139093
2.750970E-01,0.139096
2.754180E-01,0.137590
2.757390E-01,0.137592
2.760600E-01,0.139104
2.763810E-01,0.139106
2.767020E-01,0.139109
2.770230E-01,0.137604
2.773440E-01,0.137607
2.776650E-01,0.137609
2.779860E-01,0.136919
2.783070E-01,2.166215
2.786280E-01,0.136924
2.789490E-01,0.139127
2.792700E-01,2.165922
2.795910E-01,0.137626
2.799120E-01,0.137629
2.802330E-01,0.137631
2.805540E-01,0.139140
2.808750E-01,0.137637
2.811960E-01,0.137640
2.815170E-01,0.137643
2.818380E-01,0.137645
2.821590E-01,0.137648
2.824800E-01,0.139156
2.828010E-01,0.137654
2.831220E-01,0.137657
2.834430E-01,0.137660
2.837640E-01,0.137663
2.840850E-01,0.137665
2.844060E-01,0.137668
2.847270E-01,0.137671
2.850480E-01,0.139178
2.853690E-01,0.139180
2.856900E-01,0.137679
2.860110E-01,0.137682
2.863320E-01,0.139189
2.866530E-01,0.139191
2.869740E-01,0.139194
2.872950E-01,0.137694
2.876160E-01,0.137697
2.879370E-01,0.139202
2.882580E-01,0.137702
2.885790E-01,0.137705
2.889000E-01,0.139210
2.892210E-01,0.137711
2.895420E-01,0.137714
2.898630E-01,0.137717
2.901840E-01,0.137720
2.905050E-01,0.137723
2.908260E-01,0.139227
2.911470E-01,0.139229
2.914680E-01,0.137731
2.917890E-01,0.137734
2.921100E-01,0.139238
2.924310E-01,0.137740
2.927520E-01,0.139243
